trip_id,pickup_datetime,pickup_zone,vehicle_type,passenger_count,trip_distance_km,trip_duration_min,payment_method,fare_amount
TRP107572,2024-07-09 13:21:04,Business District,Sedan,1,5.04,16.3,UPI,102.28
TRP107889,2025-02-09 23:07:13,Business District,Sedan,3,9.25,33.5,Wallet,398.11
TRP109004,2024-08-05 00:30:01,Residential,SUV,1,2.93,10.1,Card,207.68
TRP102252,2024-09-30 10:02:22,Business District,Sedan,2,5.97,29.2,UPI,249.01
TRP111051,2025-04-27 07:54:35,Residential,Sedan,1,10.3,24.0,UPI,271.98
TRP100424,2024-08-15 16:50:12,Residential,Sedan,1,4.46,11.7,UPI,145.81
TRP100135,2024-06-14 22:57:43,Mall,Auto,1,1.81,7.3,Card,30.0
TRP106952,2024-04-04 11:32:07,Business District,Mini,2,4.99,35.2,Wallet,212.93
TRP106883,2024-07-17 22:35:38,Mall,Auto,2,4.56,14.5,Cash,82.69
TRP106861,2025-05-07 03:17:03,Railway Station,Mini,4,13.58,36.1,UPI,274.78
TRP109394,2025-06-17 17:14:18,Mall,Auto,2,2.67,10.5,UPI,65.77
TRP105157,2024-07-26 22:22:00,Suburb,Mini,2,4.33,14.5,Wallet,116.35
TRP109807,2024-10-06 20:32:07,Business District,Auto,2,2.64,17.1,UPI,55.31
TRP108520,2024-10-05 19:39:00,Mall,Mini,2,1.18,12.7,Cash,67.52
TRP109471,2024-06-08 14:38:00,Residential,SUV,3,2.61,10.1,UPI,139.27
TRP103508,2024-07-09 20:40:53,Residential,Mini,1,3.63,16.7,UPI,117.76
TRP110283,2024-06-24 23:52:39,Residential,Sedan,1,5.4,13.5,Card,219.22
TRP110157,2024-08-25 03:16:46,Business District,Sedan,3,3.02,8.6,Cash,223.37
TRP109482,2024-02-09 02:04:48,Business District,SUV,3,2.46,10.2,UPI,174.75
TRP104978,2025-06-07 15:59:41,Business District,Sedan,1,10.71,24.4,UPI,234.39
TRP102319,2024-02-23 23:04:36,Residential,SUV,2,5.98,16.1,UPI,266.54
TRP104877,2024-07-26 12:04:38,Residential,Auto,4,3.81,12.6,UPI,71.71
TRP104655,2024-08-17 14:18:54,Business District,Sedan,1,8.15,17.6,Cash,205.71
TRP106880,2024-01-26 16:46:01,Mall,Sedan,6,3.47,13.9,Cash,123.15
TRP101669,2025-01-31 06:29:07,Business District,Sedan,1,11.16,31.7,Cash,246.64
TRP105576,2024-07-29 10:28:05,Business District,Mini,2,5.71,25.7,Cash,153.73
TRP104374,2024-05-23 20:14:23,Residential,Sedan,4,5.92,27.5,Card,253.72
TRP101432,2024-04-03 11:21:37,Residential,Mini,3,3.71,23.4,UPI,121.76
TRP104342,2024-10-01 11:06:35,Suburb,Sedan,4,3.66,,UPI,194.66
TRP103126,2025-05-11 02:24:08,Railway Station,Sedan,2,6.73,24.5,Card,354.21
TRP109231,2024-12-17 09:21:39,Mall,Auto,1,3.02,12.2,Cash,81.21
TRP108898,2024-12-22 18:12:59,Airport,SUV,4,3.26,12.8,UPI,285.75
TRP105234,2025-03-25 09:28:40,Suburb,Mini,1,13.34,59.1,Card,335.91
TRP104502,2024-07-25 20:41:08,Business District,Mini,2,4.38,20.2,Cash,166.79
TRP100538,2024-10-21 23:52:59,Suburb,Mini,1,4.33,12.6,UPI,153.49
TRP106310,2024-02-08 08:20:17,Airport,Mini,1,2.22,8.5,Wallet,159.01
TRP104447,2025-04-13 23:53:44,Mall,Sedan,1,2.84,7.3,UPI,203.41
TRP107591,2024-12-18 00:51:55,Airport,Mini,1,3.79,11.1,UPI,229.96
TRP111689,2025-01-21 03:30:00,Mall,Mini,1,1.69,10.3,Cash,120.91
TRP105979,2025-05-21 17:15:28,Business District,SUV,4,10.49,64.1,Card,594.61
TRP106629,2024-04-15 01:50:34,Business District,Auto,1,5.01,18.4,UPI,121.92
TRP106444,2025-01-14 18:30:49,Railway Station,Sedan,2,3.34,14.8,Cash,172.78
TRP111900,2024-01-25 21:17:19,Business District,Sedan,1,3.79,17.8,Card,171.02
TRP107387,2024-06-03 18:16:37,Railway Station,Sedan,1,2.1,15.7,Wallet,148.88
TRP100360,2025-04-06 17:18:07,Residential,Sedan,1,4.33,18.7,UPI,155.14
TRP104475,2025-04-19 16:32:58,Mall,Sedan,1,1.82,8.3,Card,98.31
TRP101421,2025-06-27 02:34:18,Residential,Sedan,2,5.97,14.5,Card,189.83
TRP104902,2024-12-16 06:50:04,Residential,Mini,1,5.29,15.1,UPI,100.61
TRP104812,2024-06-11 09:17:10,Residential,Sedan,1,4.54,20.5,Cash,212.41
TRP111981,2025-06-18 09:05:47,Business District,Sedan,1,13.74,49.3,Wallet,468.46
TRP110875,2024-07-24 14:04:25,Residential,SUV,1,9.18,23.3,UPI,342.98
TRP102754,2025-04-20 18:56:40,Mall,SUV,2,4.42,19.4,Cash,248.22
TRP111220,2024-12-21 19:56:47,Mall,SUV,6,3.39,15.8,UPI,250.15
TRP101277,2025-02-26 10:50:08,Business District,SUV,1,7.19,31.1,Cash,377.28
TRP110669,2024-05-27 01:17:31,Residential,Mini,2,6.16,19.2,Wallet,151.07
TRP106604,2025-06-29 16:15:16,Business District,Sedan,1,6.72,23.3,Wallet,157.89
TRP111703,2024-12-06 04:37:48,Suburb,Mini,6,7.62,13.4,UPI,170.08
TRP111851,2024-05-16 09:39:28,Railway Station,SUV,4,7.01,34.2,Card,308.02
TRP105900,2025-02-28 01:43:42,Mall,Mini,1,2.84,9.5,Card,118.31
TRP107458,2025-05-10 04:02:57,Business District,SUV,2,4.89,11.0,Cash,330.06
TRP111853,2024-03-03 06:22:33,Railway Station,Sedan,1,2.97,10.0,UPI,100.27
TRP107135,2024-06-16 11:58:03,Residential,Mini,2,5.98,19.4,UPI,152.08
TRP106965,2025-01-17 04:33:04,Residential,Sedan,2,6.0,18.8,UPI,196.55
TRP100070,2025-03-10 10:35:25,Railway Station,Auto,4,1.6,9.6,Cash,60.14
TRP109834,2024-07-31 18:15:04,Airport,Auto,1,4.76,23.9,UPI,158.61
TRP106755,2024-06-11 05:26:19,Railway Station,Sedan,2,3.42,8.2,UPI,143.72
TRP102391,2024-12-02 23:13:12,Railway Station,Mini,5,4.69,17.1,UPI,160.57
TRP102889,2024-03-22 03:10:34,Residential,SUV,5,2.76,10.6,UPI,208.22
TRP100613,2024-07-29 06:12:45,Mall,Mini,2,1.16,3.8,UPI,60.46
TRP102447,2025-02-28 21:03:31,Mall,Mini,1,4.6,25.5,UPI,162.67
TRP108679,2024-11-06 10:14:16,Residential,SUV,1,3.73,21.3,Wallet,251.07
TRP103994,2024-07-01 22:27:15,Suburb,Sedan,6,2.65,5.8,UPI,117.12
TRP108757,2024-06-12 08:18:22,Railway Station,Sedan,4,3.54,16.0,UPI,191.9
TRP108374,2024-05-08 20:07:34,Residential,Mini,2,4.56,19.4,UPI,179.72
TRP108432,2024-05-19 15:23:50,Residential,Sedan,1,3.07,9.7,UPI,106.16
TRP100200,2024-07-18 23:31:02,Residential,Sedan,5,11.81,26.4,Card,304.59
TRP111504,2024-11-28 18:44:32,Residential,Auto,5,6.07,23.9,Cash,118.5
TRP111283,2025-03-24 12:52:40,Business District,Sedan,1,7.49,18.2,UPI,193.71
TRP111752,2024-06-02 10:23:21,Airport,Sedan,2,3.41,29.6,UPI,252.6
TRP109065,2024-01-12 03:44:39,Mall,Sedan,2,3.14,13.4,Cash,179.55
TRP107279,2024-01-17 11:52:16,Business District,Mini,3,3.57,14.9,UPI,157.85
TRP102564,2024-08-23 14:37:30,Business District,Mini,2,12.41,28.0,Cash,246.05
TRP100554,2025-06-21 11:52:30,Business District,SUV,1,13.77,49.1,Card,510.81
TRP109653,2024-04-10 22:18:31,Residential,Mini,3,2.53,9.8,UPI,68.61
TRP106234,2024-05-27 18:04:57,Residential,Auto,5,7.72,33.3,Cash,179.69
TRP104417,2025-01-28 22:54:50,Mall,Sedan,4,2.49,8.8,UPI,83.23
TRP102559,2024-11-11 06:18:44,Residential,Sedan,1,8.93,26.5,Card,233.44
TRP103679,2025-01-22 08:57:09,Mall,Sedan,1,2.88,13.7,UPI,175.28
TRP104034,2024-01-18 11:53:57,Business District,Mini,3,10.99,39.2,UPI,301.15
TRP103434,2024-11-27 01:46:43,Business District,Sedan,2,2.41,9.1,Wallet,158.13
TRP108522,2025-05-22 03:10:39,Residential,Mini,1,8.68,25.4,UPI,247.12
TRP103984,2024-07-04 11:53:59,Airport,Sedan,1,2.26,9.3,Card,208.66
TRP105683,2025-02-18 05:11:51,Business District,Mini,2,6.73,11.5,UPI,175.32
TRP104176,2024-09-08 07:00:45,Railway Station,Sedan,3,9.27,29.2,UPI,237.17
TRP106535,2024-06-26 11:04:24,Airport,Mini,2,4.51,18.7,UPI,223.26
TRP102952,2024-08-26 10:05:26,Business District,Auto,4,4.04,16.1,Wallet,103.64
TRP102628,2024-01-22 01:03:15,Railway Station,Sedan,1,5.66,15.8,UPI,198.19
TRP103678,2025-02-04 11:20:39,Business District,Auto,1,4.26,18.8,Cash,91.4
TRP104772,2024-01-25 12:06:42,Residential,Mini,2,2.28,6.7,UPI,90.38
TRP104913,2024-02-27 02:41:09,Business District,SUV,1,1.86,7.1,UPI,159.45
TRP109657,2024-01-23 03:51:42,Mall,SUV,1,4.29,18.0,Card,234.6
TRP106765,2024-10-09 12:57:35,Business District,Sedan,2,2.71,10.5,Wallet,96.43
TRP102407,2024-09-10 10:06:46,Mall,Sedan,1,5.67,33.0,Cash,251.67
TRP107201,2024-09-30 15:50:40,Airport,Mini,2,3.67,12.1,UPI,170.47
TRP106884,2024-02-25 14:24:36,Business District,Mini,1,3.43,12.8,Cash,104.06
TRP107289,2024-07-10 02:57:58,Suburb,SUV,2,4.31,16.2,UPI,223.22
TRP105367,2025-03-03 21:02:39,Suburb,Mini,2,4.55,19.6,Cash,170.73
TRP107100,2024-06-02 16:58:15,Suburb,Sedan,1,4.89,21.3,Card,204.02
TRP106452,2024-04-16 09:09:10,Residential,SUV,2,4.16,20.8,UPI,280.99
TRP105826,2024-09-06 02:39:52,Residential,Sedan,1,10.46,25.0,Cash,288.07
TRP102974,2024-09-13 01:50:33,Suburb,Auto,2,1.68,10.6,UPI,90.53
TRP102684,2024-09-20 01:01:46,Residential,Mini,1,4.53,15.0,Cash,149.76
TRP106390,2024-10-30 00:51:15,Mall,SUV,2,2.48,14.5,Cash,204.0
TRP102495,2025-03-13 09:55:24,Airport,Sedan,6,4.52,26.7,UPI,235.28
TRP111630,2024-07-10 12:01:03,Business District,Sedan,2,5.26,18.5,Cash,199.31
TRP111019,2025-02-03 11:46:18,Suburb,Mini,1,3.54,22.0,Wallet,97.36
TRP108728,2025-03-02 04:00:11,Residential,Auto,2,4.59,13.5,UPI,110.62
TRP107873,2025-03-11 21:07:47,Business District,Mini,1,2.44,14.0,Wallet,125.71
TRP103439,2025-06-01 13:59:16,Residential,Mini,2,4.09,13.5,UPI,140.23
TRP107724,2025-06-02 07:00:31,Business District,Sedan,4,2.63,10.8,Cash,94.16
TRP108336,2024-04-19 09:23:33,Residential,Sedan,3,2.63,10.5,Card,155.06
TRP108124,2024-03-05 20:27:19,Railway Station,Mini,1,2.24,14.5,Card,130.95
TRP108610,2025-02-25 14:53:15,Residential,Sedan,3,9.08,25.7,Card,238.91
TRP100304,2024-10-23 09:12:22,Residential,Auto,1,4.09,26.9,Cash,97.02
TRP109640,2025-01-19 09:38:20,Suburb,Auto,1,7.32,27.0,Card,184.06
TRP105738,2024-12-05 07:35:27,Business District,Mini,1,2.12,10.4,UPI,90.05
TRP105365,2024-12-29 04:34:42,Railway Station,Mini,1,1.67,7.3,UPI,129.94
TRP100487,2024-10-16 19:12:16,Residential,Sedan,2,2.57,14.1,Card,161.43
TRP104602,2024-09-14 12:22:23,Mall,Mini,1,6.57,17.7,Cash,174.26
TRP100019,2024-09-02 21:51:26,Residential,Mini,1,4.11,15.6,UPI,97.66
TRP110124,2024-10-07 01:45:18,Railway Station,Sedan,1,1.51,12.3,Card,147.67
TRP108246,2024-03-24 07:13:10,Residential,Sedan,1,10.57,,Cash,258.52
TRP106258,2024-08-21 00:43:47,Airport,SUV,1,5.48,11.0,Cash,313.34
TRP101983,2024-12-13 23:24:27,Business District,Mini,1,5.45,13.3,UPI,173.29
TRP102894,2024-10-20 07:42:58,Mall,Sedan,1,3.44,10.5,UPI,112.48
TRP101981,2024-01-30 12:53:02,Railway Station,Sedan,2,7.9,24.7,Cash,247.64
TRP103305,2024-05-30 11:59:35,Railway Station,Mini,1,7.56,32.0,Cash,221.62
TRP111747,2024-08-28 02:01:51,Residential,Mini,4,5.77,17.7,Cash,146.96
TRP109186,2024-08-25 07:08:02,Suburb,Auto,1,4.08,15.3,UPI,65.37
TRP100673,2024-02-21 22:08:04,Mall,Auto,2,2.1,7.3,UPI,61.71
TRP101650,2024-04-13 14:41:25,Suburb,Auto,2,7.73,15.4,Cash,118.03
TRP103949,2024-07-24 20:11:42,Airport,Mini,5,4.59,28.8,UPI,202.62
TRP106955,2024-11-04 02:32:14,Mall,Sedan,1,2.11,8.1,Card,126.22
TRP102085,2025-02-04 06:05:49,Business District,Sedan,2,9.41,39.2,UPI,250.2
TRP103307,2024-01-13 21:22:37,Business District,Auto,1,3.91,12.2,UPI,109.0
TRP105792,2024-04-21 09:23:17,Residential,Mini,1,4.38,21.6,Cash,150.06
TRP103133,2025-01-22 22:15:42,Suburb,SUV,2,1.58,7.2,Card,145.99
TRP102019,2024-06-14 09:12:24,Airport,Sedan,4,10.95,39.9,Cash,449.07
TRP102755,2025-04-27 18:09:46,Mall,Mini,3,4.31,22.0,UPI,150.44
TRP106311,2025-04-10 08:59:15,Airport,Auto,2,5.01,24.9,UPI,179.33
TRP101418,2025-04-15 02:06:43,Business District,Mini,3,9.25,22.5,Card,211.44
TRP108410,2024-10-20 14:01:04,Suburb,Mini,3,25.23,61.7,UPI,437.63
TRP109895,2024-06-04 08:24:11,Mall,Sedan,1,5.92,25.1,UPI,219.73
TRP103179,2024-05-02 01:31:02,Suburb,Auto,3,3.1,12.0,Wallet,104.49
TRP102036,2024-01-22 23:29:06,Mall,Mini,1,3.08,10.8,Card,143.18
TRP107720,2025-01-04 01:07:28,Suburb,Sedan,1,1.31,7.9,Cash,137.66
TRP106934,2025-03-09 10:47:21,Business District,SUV,3,1.63,11.3,UPI,179.18
TRP105111,2024-05-10 02:45:13,Suburb,Mini,3,8.12,31.4,Cash,193.7
TRP107912,2024-02-27 21:03:23,Business District,Auto,1,1.16,11.5,Cash,39.03
TRP106499,2024-10-06 11:27:45,Residential,Mini,1,6.37,31.2,Wallet,183.91
TRP107288,2024-06-01 00:08:57,Airport,Sedan,1,2.7,9.7,UPI,268.72
TRP100937,2024-03-22 01:08:40,Mall,Mini,1,8.18,17.4,Wallet,207.45
TRP106899,2024-11-01 08:18:36,Business District,Auto,3,4.25,18.7,Cash,67.36
TRP109420,2025-05-07 01:04:52,Business District,Mini,2,3.14,13.5,Cash,126.85
TRP110197,2025-01-03 15:47:11,Suburb,Sedan,2,7.26,31.4,Cash,249.05
TRP104193,2024-09-27 01:14:28,Railway Station,SUV,2,1.97,,Wallet,179.81
TRP104441,2025-02-06 15:16:37,Airport,Mini,1,6.98,18.2,Cash,201.18
TRP110435,2024-07-07 07:37:44,Railway Station,SUV,1,7.07,18.5,Cash,253.3
TRP109232,2024-10-06 15:41:27,Business District,Mini,1,4.08,7.9,Cash,110.65
TRP102633,2024-02-15 11:04:47,Airport,Sedan,1,14.81,55.0,Cash,477.96
TRP108600,2024-06-22 12:36:58,Business District,Sedan,4,2.21,12.0,Cash,134.73
TRP104702,2024-05-08 03:33:16,Mall,Sedan,4,3.83,10.4,UPI,168.16
TRP111115,2024-05-21 14:10:15,Mall,Mini,1,2.4,12.7,UPI,73.46
TRP109822,2024-06-25 21:25:40,Residential,Sedan,1,3.67,13.3,UPI,175.37
TRP110460,2024-08-09 03:28:12,Business District,SUV,1,5.79,17.0,UPI,276.63
TRP107092,2024-03-29 01:34:35,Suburb,Auto,1,8.6,27.9,Wallet,190.99
TRP102124,2024-05-19 06:55:16,Airport,Sedan,2,4.03,8.5,UPI,206.05
TRP107110,2024-10-19 16:09:58,Residential,Sedan,2,1.64,5.7,Wallet,117.41
TRP105235,2025-05-13 23:48:25,Suburb,Auto,1,10.89,26.7,Wallet,205.6
TRP106847,2024-07-11 15:23:08,Mall,Sedan,1,2.75,11.3,Cash,107.88
TRP103997,2025-02-03 06:35:57,Suburb,Mini,1,1.32,5.5,UPI,70.95
TRP101643,2024-11-20 15:12:50,Residential,Mini,4,2.59,9.0,Cash,70.56
TRP109581,2024-10-01 03:59:35,Airport,Mini,1,2.78,8.4,Cash,179.05
TRP110284,2025-03-31 21:06:41,Residential,SUV,1,3.62,18.5,Cash,290.76
TRP102616,2024-01-29 16:57:20,Mall,Sedan,4,3.7,14.3,Wallet,180.41
TRP110713,2024-08-14 19:46:46,Business District,Mini,1,2.25,10.5,Cash,142.91
TRP101373,2024-08-17 12:40:57,Mall,Sedan,2,4.37,10.8,UPI,130.53
TRP106014,2024-02-13 09:50:27,Mall,Mini,4,3.49,20.0,Cash,122.87
TRP109932,2024-12-05 04:38:22,Residential,Sedan,1,2.41,12.3,Cash,143.42
TRP111670,2024-09-15 10:55:21,Residential,Sedan,2,10.23,57.0,Wallet,395.38
TRP105781,2024-11-07 00:32:53,Residential,Sedan,4,5.76,17.8,UPI,218.76
TRP100429,2025-01-25 14:41:42,Suburb,Sedan,1,3.01,8.8,Cash,134.16
TRP100741,2025-02-20 08:13:16,Suburb,Mini,2,1.85,11.3,UPI,84.07
TRP105183,2025-04-16 05:38:01,Residential,SUV,3,4.88,14.3,Cash,262.69
TRP109373,2024-01-03 20:18:27,Business District,Mini,2,4.25,18.6,Wallet,162.25
TRP107356,2025-02-06 20:52:49,Residential,Sedan,1,1.68,9.3,Wallet,138.34
TRP110851,2024-03-21 02:36:54,Residential,Sedan,1,1.5,6.6,Card,122.07
TRP101282,2024-08-02 19:35:34,Business District,Auto,2,11.56,46.9,Card,226.74
TRP107132,2024-11-04 18:27:33,Business District,Sedan,1,2.92,17.5,UPI,193.9
TRP107681,2024-02-08 13:05:45,Residential,Sedan,2,4.1,9.5,UPI,132.51
TRP108009,2025-03-11 09:54:19,Mall,Mini,4,5.86,25.5,UPI,152.19
TRP102087,2024-06-15 13:08:52,Airport,Sedan,1,11.81,31.3,Cash,363.72
TRP106810,2024-10-08 16:20:20,Business District,Auto,1,3.2,12.0,Card,40.7
TRP105003,2024-09-28 13:25:16,Mall,Mini,4,0.72,10.5,Cash,55.66
TRP101795,2024-04-20 08:09:44,Suburb,Mini,4,4.92,23.2,UPI,163.64
TRP106636,2024-06-18 22:16:03,Residential,Sedan,3,7.44,17.4,UPI,215.97
TRP109068,2025-04-17 15:57:46,Residential,Mini,1,2.57,11.7,UPI,58.83
TRP111912,2024-06-17 15:20:15,Business District,Mini,1,6.19,13.2,UPI,133.15
TRP100624,2024-11-25 21:08:31,Suburb,Sedan,1,2.65,16.4,Cash,191.2
TRP101219,2024-08-28 06:55:20,Mall,Sedan,1,7.34,24.6,Card,194.75
TRP105728,2024-03-08 15:01:14,Mall,SUV,1,5.9,,Cash,226.86
TRP110312,2024-06-13 18:23:05,Railway Station,Mini,2,5.85,26.5,UPI,177.59
TRP105218,2025-04-29 02:36:12,Business District,Mini,1,3.28,9.1,Wallet,138.35
TRP102973,2024-01-10 11:00:10,Residential,Mini,1,3.3,16.6,Cash,108.23
TRP102154,2024-09-24 10:39:25,Residential,Mini,1,11.21,39.3,UPI,258.82
TRP100095,2024-06-06 10:15:05,Railway Station,SUV,2,9.21,35.2,Cash,400.0
TRP100396,2024-01-25 10:51:37,Airport,Mini,2,3.01,17.3,UPI,195.28
TRP104863,2024-09-12 17:26:56,Mall,Sedan,1,3.95,20.0,UPI,153.35
TRP107439,2025-01-04 06:33:31,Business District,Sedan,1,6.78,19.9,Card,177.68
TRP103411,2024-05-01 06:25:56,Suburb,Auto,3,8.45,20.9,UPI,144.25
TRP103021,2024-07-30 05:06:06,Railway Station,Sedan,2,12.97,40.6,UPI,350.89
TRP111335,2024-11-14 01:31:18,Mall,Auto,1,2.35,7.7,Cash,96.11
TRP109935,2025-03-17 20:14:04,Residential,SUV,1,2.6,16.2,Card,264.09
TRP107150,2024-08-18 12:56:42,Suburb,Mini,1,1.97,6.2,UPI,98.66
TRP103643,2025-06-07 14:31:19,Residential,Mini,5,3.81,12.9,Cash,89.41
TRP103111,2024-02-02 05:38:59,Mall,SUV,2,11.83,26.6,Wallet,400.93
TRP108469,2025-04-19 00:18:03,Suburb,Sedan,1,6.21,22.9,Cash,323.78
TRP108991,2024-02-19 10:46:06,Residential,SUV,1,4.92,25.0,Cash,310.99
TRP108261,2024-10-05 15:18:38,Residential,Mini,2,3.4,10.5,Cash,88.36
TRP102453,2025-03-29 04:48:29,Residential,Sedan,1,0.94,4.0,Cash,184.36
TRP110140,2024-10-03 03:08:03,Residential,Sedan,3,5.08,26.2,UPI,190.53
TRP102102,2024-03-11 15:10:12,Railway Station,Auto,2,3.81,14.3,Card,65.53
TRP109630,2024-10-22 03:39:12,Railway Station,Mini,4,3.57,12.4,Cash,138.03
TRP107445,2025-03-01 00:00:21,Business District,Sedan,3,7.07,23.2,Cash,267.22
TRP106189,2024-05-24 16:45:16,Business District,Auto,1,11.83,29.1,Card,140.16
TRP110319,2025-04-18 21:00:30,Mall,Mini,4,10.46,39.6,Cash,265.41
TRP102012,2025-05-18 07:57:16,Residential,SUV,4,3.3,8.7,Cash,174.74
TRP101883,2024-12-03 06:29:35,Residential,Auto,1,6.27,24.3,Wallet,110.85
TRP100747,2024-06-20 16:25:17,Railway Station,Mini,3,2.18,6.8,UPI,73.44
TRP102498,2025-05-22 14:21:05,Railway Station,Auto,4,7.33,21.6,UPI,89.61
